variant,test_case,seed_count,mean_predicted_life,true_life,mean_life_abs_error,mean_wear_mae_um,mean_k_factor
T4_dynk_s0p5_c0p1,Run25.xlsx,1,15513.054558810978,22834.36330453385,7321.308745722872,0.6099675033929192,1.072383232173073
T4_dynk_s0p5_c0p1,Run28.xlsx,1,43058.83545229233,42449.22900678442,609.6064455079104,0.08159786764719627,1.0317688874128181
T4_dynk_s0p5_c0p1,Run4.xlsx,1,31787.06846822707,38722.98916828896,6935.920700061888,0.3223146149401906,1.0032083304533206
T4_dynk_s0p5_c0p15,Run11.xlsx,1,19272.12534071352,23918.706127369696,4646.580786656177,0.33296459581312354,0.9795512653164677
T4_dynk_s0p5_c0p15,Run25.xlsx,1,15211.023947818243,22834.36330453385,7623.339356715607,0.6243132185568355,1.0928519619953716
T4_dynk_s0p5_c0p15,Run28.xlsx,1,43058.83545229233,42449.22900678442,609.6064455079104,0.08159786764719627,1.0317688874128181
T4_dynk_s0p5_c0p15,Run4.xlsx,1,31787.06846822707,38722.98916828896,6935.920700061888,0.3223146149401906,1.0032083304533206
T4_dynk_s0p5_c0p2,Run11.xlsx,1,19272.12534071352,23918.706127369696,4646.580786656177,0.33296459581312354,0.9795512653164677
T4_dynk_s0p5_c0p2,Run25.xlsx,1,15092.758206272983,22834.36330453385,7741.605098260867,0.6297337153147801,1.1006747156581649
T4_dynk_s0p5_c0p2,Run28.xlsx,1,43058.83545229233,42449.22900678442,609.6064455079104,0.08159786764719627,1.0317688874128181
T4_dynk_s0p5_c0p2,Run4.xlsx,1,31787.06846822707,38722.98916828896,6935.920700061888,0.3223146149401906,1.0032083304533206
T4_dynk_s0p75_c0p05,Run11.xlsx,1,19471.52458343523,23918.706127369696,4447.181543934465,0.3104707392207735,0.9709879379721734
T4_dynk_s0p75_c0p05,Run25.xlsx,1,15862.361261971957,22834.36330453385,6972.002042561893,0.6004147942315886,1.05
T4_dynk_s0p75_c0p05,Run28.xlsx,1,43216.88593289445,42449.22900678442,767.6569261100303,0.08535803053984359,1.0280709042599956
T4_dynk_s0p75_c0p05,Run4.xlsx,1,31736.12840030282,38722.98916828896,6986.860767986138,0.3234744583778399,1.0047868132814168
T4_dynk_s0p75_c0p1,Run11.xlsx,1,19514.243307395842,23918.706127369696,4404.4628199738545,0.3041551056012273,0.9696126927072504
T4_dynk_s0p75_c0p1,Run25.xlsx,1,15362.167967529911,22834.36330453385,7472.195337003939,0.6290032551619631,1.0827031829567793
T4_dynk_s0p75_c0p1,Run28.xlsx,1,42402.4809914813,42449.22900678442,46.748015303121065,0.06604285624483382,1.0473631573032598
T4_dynk_s0p75_c0p1,Run4.xlsx,1,31736.12840030282,38722.98916828896,6986.860767986138,0.3234744583778399,1.0047868132814168
T4_dynk_s0p75_c0p15,Run11.xlsx,1,19514.243307395842,23918.706127369696,4404.4628199738545,0.3041551056012273,0.9696126927072504
T4_dynk_s0p75_c0p15,Run25.xlsx,1,14966.614366692504,22834.36330453385,7867.748937841347,0.6487080837941843,1.109825422253574
T4_dynk_s0p75_c0p15,Run28.xlsx,1,42388.32386999768,42449.22900678442,60.90513678674324,0.06574831362470986,1.0477070077374633
T4_dynk_s0p75_c0p15,Run4.xlsx,1,31736.12840030282,38722.98916828896,6986.860767986138,0.3234744583778399,1.0047868132814168
T4_dynk_s0p75_c0p2,Run11.xlsx,1,19514.243307395842,23918.706127369696,4404.4628199738545,0.3041551056012273,0.9696126927072504
T4_dynk_s0p75_c0p2,Run25.xlsx,1,14661.371346045562,22834.36330453385,8172.991958488288,0.6623145266851619,1.1317695087058128
T4_dynk_s0p75_c0p2,Run28.xlsx,1,42388.32386999768,42449.22900678442,60.90513678674324,0.06574831362470986,1.0477070077374633
T4_dynk_s0p75_c0p2,Run4.xlsx,1,31736.12840030282,38722.98916828896,6986.860767986138,0.3234744583778399,1.0047868132814168
T4_dynk_s1_c0p05,Run11.xlsx,1,19535.730863166726,23918.706127369696,4382.975264202971,0.3062110678293379,0.9681874552914731
T4_dynk_s1_c0p05,Run25.xlsx,1,15862.361261971957,22834.36330453385,6972.002042561893,0.6004147942315886,1.05
T4_dynk_s1_c0p05,Run28.xlsx,1,43189.48641163753,42449.22900678442,740.2574048531096,0.08437188166049589,1.0286269015124077
T4_dynk_s1_c0p05,Run4.xlsx,1,31685.587715426587,38722.98916828896,7037.40145286237,0.32463380853386814,1.006382417708556
T4_dynk_s1_c0p1,Run11.xlsx,1,19757.885541161057,23918.706127369696,4160.82058620864,0.27474789734725974,0.9598538674826936
T4_dynk_s1_c0p1,Run25.xlsx,1,15252.543197020865,22834.36330453385,7581.8201075129855,0.6452301455657682,1.089423057636418
T4_dynk_s1_c0p1,Run28.xlsx,1,42162.64683670085,42449.22900678442,286.58217008357315,0.060788570339643376,1.0531705379180925
T4_dynk_s1_c0p1,Run4.xlsx,1,31685.587715426587,38722.98916828896,7037.40145286237,0.32463380853386814,1.006382417708556
T4_dynk_s1_c0p15,Run11.xlsx,1,19757.885541161057,23918.706127369696,4160.82058620864,0.27474789734725974,0.9598538674826936
T4_dynk_s1_c0p15,Run25.xlsx,1,14829.17676308765,22834.36330453385,8005.186541446201,0.6673901387642346,1.11945716687822
