variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_variant,shape_variant,mean_k_factor,min_k_factor,max_k_factor,mean_raw_k_factor,mean_k_log_std
T4_dynk_s0p75_c0p1,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6290032551619631,15362.167967529911,22834.36330453385,7472.195337003939,0.3272346698416726,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0827031829567793,1.0517535464763235,1.1,1.1996693175794526,0.9367413244025994
T4_dynk_s0p75_c0p15,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6487080837941843,14966.614366692504,22834.36330453385,7867.748937841347,0.3445574038089853,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.109825422253574,1.0517535464763235,1.15,1.202263206768232,0.9364829828021792
T4_dynk_s0p75_c0p2,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6623145266851619,14661.371346045562,22834.36330453385,8172.991958488288,0.3579251082891157,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.1317695087058128,1.0517535464763235,1.2,1.2031204897059973,0.9363466431180716
T4_dynk_s1_c0p05,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6004147942315886,15862.361261971957,22834.36330453385,6972.002042561893,0.30532938228137835,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.05,1.05,1.05,1.196022578288993,0.9369699988238779
T4_dynk_s1_c0p1,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6452301455657682,15252.543197020865,22834.36330453385,7581.8201075129855,0.332035538122825,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.089423057636418,1.069004728635098,1.1,1.1996693175794526,0.9367413244025994
T4_dynk_s1_c0p15,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.6673901387642346,14829.17676308765,22834.36330453385,8005.186541446201,0.3505762974287416,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.11945716687822,1.069004728635098,1.15,1.202263206768232,0.9364829828021792
T4_dynk_s1_c0p2,20260425,30,Run25.xlsx,Run25.csv,47.47401809692383,48.531307220458984,0.34070998430252075,0.684200966052489,14473.747259016362,22834.36330453385,8360.616045517489,0.3661418509469654,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.145744356529919,1.069004728635098,1.2,1.2036625005343966,0.9362078534378302
T3_fixed_k,20260425,30,Run11.xlsx,Run11.csv,20.010326385498047,21.062015533447266,0.19810990989208221,0.3891294742430224,18792.33514146401,23918.706127369696,5126.370985905687,0.2143247614903251,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p25_c0p05,20260425,30,Run11.xlsx,Run11.csv,20.010326385498047,21.062015533447266,0.19810990989208221,0.36128151073861897,19031.554152214165,23918.706127369696,4887.1519751555315,0.20432342573761803,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9896774883606784,0.9815380212595661,0.99798307136137,0.9585165016521204,0.9661099895209515
T4_dynk_s0p25_c0p1,20260425,30,Run11.xlsx,Run11.csv,20.010326385498047,21.062015533447266,0.19810990989208221,0.36128151073861897,19031.554152214165,23918.706127369696,4887.1519751555315,0.20432342573761803,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9896774883606784,0.9815380212595661,0.99798307136137,0.9585165016521204,0.9661099895209515
