variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_variant,shape_variant,mean_k_factor,min_k_factor,max_k_factor,mean_raw_k_factor,mean_k_log_std
T4_dynk_s0p75_c0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.18830170291438597,21256.22710884226,22834.36330453385,1578.1361956915898,0.06911233629090262,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0567821340073629,0.9016788736922271,1.1,1.134683755237477,0.9234271177690302
T4_dynk_s0p75_c0p15,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.22274551146776453,20820.382907528587,22834.36330453385,2013.9803970052635,0.08819954251167493,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.076700997958713,0.9016788736922271,1.15,1.1383827317645927,0.9279651497055122
T4_dynk_s0p75_c0p2,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.24847443725880647,20475.84479875801,22834.36330453385,2358.518505775839,0.10328812213071631,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.093361283000388,0.9016788736922271,1.2,1.1422595556706767,0.9326013544028463
T4_dynk_s1_c0p05,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.14308741893482785,21737.743564456276,22834.36330453385,1096.6197400775745,0.04802497557967103,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0359783541601717,0.95,1.05,1.132896385949618,0.9211940943131506
T4_dynk_s1_c0p1,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.206741882530065,21140.20389480965,22834.36330453385,1694.1594097242014,0.07419341573617774,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0618449044641642,0.9,1.1,1.136511944887404,0.9256840332829682
T4_dynk_s1_c0p15,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.24531519101882046,20672.849963774162,22834.36330453385,2161.5133407596877,0.0946605478739366,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0834153249887426,0.8689051649229694,1.15,1.140297962074885,0.9302708021738377
T4_dynk_s1_c0p2,20260425,1600,Run25.xlsx,Run25.csv,3.9147932529449463,4.7015509605407715,0.026213379576802254,0.27681601671359585,20254.10165217921,22834.36330453385,2580.2616523546385,0.11299906276967739,543.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.1032750659095454,0.8689051649229694,1.2,1.1422595556706767,0.9326013544028463
T3_fixed_k,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.05196110370378737,23204.320881910444,23918.706127369696,714.3852454592525,0.029867219474794073,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p25_c0p05,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.021657226301080097,23540.30759255665,23918.706127369696,378.39853481304453,0.015820192480229967,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9868956874291154,0.9683617000467144,0.99798307136137,0.936644007069095,0.9466221196674836
T4_dynk_s0p25_c0p1,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.021657226301080097,23540.30759255665,23918.706127369696,378.39853481304453,0.015820192480229967,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9868956874291154,0.9683617000467144,0.99798307136137,0.936644007069095,0.9466221196674836
T4_dynk_s0p25_c0p15,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.021657226301080097,23540.30759255665,23918.706127369696,378.39853481304453,0.015820192480229967,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9868956874291154,0.9683617000467144,0.99798307136137,0.936644007069095,0.9466221196674836
T4_dynk_s0p25_c0p2,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.021657226301080097,23540.30759255665,23918.706127369696,378.39853481304453,0.015820192480229967,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9868956874291154,0.9683617000467144,0.99798307136137,0.936644007069095,0.9466221196674836
T4_dynk_s0p5_c0p05,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.013087506402901985,23863.43916400869,23918.706127369696,55.266963361005764,0.0023106167644145635,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9749899714848301,0.95,0.9959661427227399,0.9352632535282862,0.9454290443748604
T4_dynk_s0p5_c0p1,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.012867860753535076,23899.624602830732,23918.706127369696,19.081524538964004,0.0007977657502606045,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9733958634375087,0.9360750835708109,0.9959661427227399,0.9352632535282862,0.9454290443748604
T4_dynk_s0p5_c0p15,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.012867860753535076,23899.624602830732,23918.706127369696,19.081524538964004,0.0007977657502606045,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9733958634375087,0.9360750835708109,0.9959661427227399,0.9352632535282862,0.9454290443748604
T4_dynk_s0p5_c0p2,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.012867860753535076,23899.624602830732,23918.706127369696,19.081524538964004,0.0007977657502606045,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9733958634375087,0.9360750835708109,0.9959661427227399,0.9352632535282862,0.9454290443748604
T4_dynk_s0p75_c0p05,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.033978461076669325,24071.38491340316,23918.706127369696,152.67878603346253,0.006383237672658023,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.967778193988195,0.95,0.9939492140841097,0.9338984751415067,0.94424860720919
T4_dynk_s0p75_c0p1,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.04188912798800873,24285.24298094785,23918.706127369696,366.53685357815266,0.015324275971547303,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9589137220298584,0.9021665690140169,0.9939492140841097,0.9325491797275774,0.9430807077941901
T4_dynk_s0p75_c0p15,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.04188912798800873,24285.24298094785,23918.706127369696,366.53685357815266,0.015324275971547303,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9589137220298584,0.9021665690140169,0.9939492140841097,0.9325491797275774,0.9430807077941901
T4_dynk_s0p75_c0p2,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.04188912798800873,24285.24298094785,23918.706127369696,366.53685357815266,0.015324275971547303,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9589137220298584,0.9021665690140169,0.9939492140841097,0.9325491797275774,0.9430807077941901
T4_dynk_s1_c0p05,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.039513360395044175,24142.41098387452,23918.706127369696,223.70485650482442,0.009352715624063103,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.965248608870084,0.95,0.9919322854454797,0.9338984751415067,0.94424860720919
T4_dynk_s1_c0p1,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.07353391395738834,24597.55877022259,23918.706127369696,678.852642852893,0.02838166242094908,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.948480544680571,0.9,0.9919322854454797,0.9312148926460602,0.9419252502222834
