stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260427,1200,Run25.xlsx,Run25.csv,2.9921724796295166,3.5792853832244873,0.0228271484375,0.049292646054992,23449.892085218995,22834.36330453385,615.5287806851447,0.026956248898909702,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260427,1200,Run11.xlsx,Run11.csv,1.5161402225494385,1.778847575187683,0.014892805367708206,0.04991632781075742,23135.38937394598,23918.706127369696,783.3167534237145,0.032749127367194035,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260427,1200,Run4.xlsx,Run4.csv,3.2703895568847656,3.9801836013793945,0.02054552733898163,0.04024734151527313,38381.82597073662,38722.98916828896,341.16319755233417,0.008810352838972453,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p01,M1_R2_log_cycle_replace,S1_slow_abs_0p01,20260427,1200,Run28.xlsx,Run28.csv,2.101975440979004,2.60140323638916,0.023332200944423676,0.031934384695983864,41389.5253734929,42449.22900678442,1059.7036332915231,0.024964025450783963,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p01,slow_abs_0p01,0.0,0.01,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260425,1200,Run25.xlsx,Run25.csv,3.321519613265991,4.044787883758545,0.022512691095471382,0.04354591333922587,22720.62672046702,22834.36330453385,113.73658406683171,0.004980939584343431,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260425,1200,Run11.xlsx,Run11.csv,1.3702589273452759,1.7967016696929932,0.013368938118219376,0.06918817037640028,23064.148885961415,23918.706127369696,854.5572414082817,0.03572756974635969,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260425,1200,Run4.xlsx,Run4.csv,5.8833327293396,6.044919013977051,0.03517408296465874,0.009777489385596503,38984.71194837924,38722.98916828896,261.7227800902838,0.0067588475402258945,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260425,1200,Run28.xlsx,Run28.csv,2.2918612957000732,2.692631244659424,0.02413395792245865,0.04063244924995876,42329.87823499389,42449.22900678442,119.35077179053042,0.002811612238503914,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260426,1200,Run25.xlsx,Run25.csv,2.9502522945404053,3.534825325012207,0.019911015406250954,0.04669191238336907,22677.980966435316,22834.36330453385,156.3823380985341,0.006848552596493189,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260426,1200,Run11.xlsx,Run11.csv,1.0866105556488037,1.4245072603225708,0.011213341727852821,0.06966330088613065,23091.60661045775,23918.706127369696,827.0995169119451,0.03457960946999184,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260426,1200,Run4.xlsx,Run4.csv,3.452972173690796,3.5618674755096436,0.020487254485487938,0.028211335540973458,38384.57147066505,38722.98916828896,338.4176976239105,0.008739451806087522,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260426,1200,Run28.xlsx,Run28.csv,2.2766623497009277,2.6276118755340576,0.025222862139344215,0.04712730132745063,42720.425818269156,42449.22900678442,271.1968114847332,0.006388733501882668,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260427,1200,Run25.xlsx,Run25.csv,2.8497767448425293,3.4485161304473877,0.021694786846637726,0.04176924290892224,23251.47878863864,22834.36330453385,417.1154841047901,0.018267007428316172,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260427,1200,Run11.xlsx,Run11.csv,1.469190001487732,1.726506233215332,0.014690479263663292,0.05237903709109743,23169.689777102034,23918.706127369696,749.0163502676623,0.031315086454888875,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260427,1200,Run4.xlsx,Run4.csv,2.9280691146850586,3.628635883331299,0.01848556660115719,0.04925753378307053,38232.069502511535,38722.98916828896,490.9196657774228,0.012677731660742939,326.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
03_模块二_复筛,Transformer,M1_R2_log_cycle_replace__S1_slow_abs_0p003,M1_R2_log_cycle_replace,S1_slow_abs_0p003,20260427,1200,Run28.xlsx,Run28.csv,2.24576997756958,2.697993516921997,0.025216950103640556,0.04651069234487153,40934.898614959864,42449.22900678442,1514.3303918245583,0.035673919815658636,543.0,250.0,R2_log_cycle,F|D|Cr|F_over_D_sq|Cr_over_D|log1p_actual_cycle|wear_depth,M1_R2_log_cycle_replace + S1_slow_abs_0p003,slow_abs_0p003,0.0,0.003,0.0
