variant,test_case,seed_count,mean_predicted_life,true_life,mean_life_abs_error,mean_wear_mae_um,mean_k_factor
T5_calibk_s0p75_c0p1,Run11.xlsx,1,23216.542148175606,23918.706127369696,702.1639791940906,0.050939511787149186,0.9995238303011608
T5_calibk_s0p75_c0p1,Run25.xlsx,1,22585.847123618118,22834.36330453385,248.51618091573255,0.051670089064699984,1.0013724068286987
T5_calibk_s0p75_c0p1,Run28.xlsx,1,42517.54838730453,42449.22900678442,68.3193805201081,0.04950267371179119,1.0011099340580107
T5_calibk_s0p75_c0p1,Run4.xlsx,1,38994.734735154365,38722.98916828896,271.74556686540745,0.006522491306027998,0.9960578842949945
T5_calibk_s0p75_c0p15,Run11.xlsx,1,23216.542148175606,23918.706127369696,702.1639791940906,0.050939511787149186,0.9995238303011608
T5_calibk_s0p75_c0p15,Run25.xlsx,1,22585.847123618118,22834.36330453385,248.51618091573255,0.051670089064699984,1.0013724068286987
T5_calibk_s0p75_c0p15,Run28.xlsx,1,42517.54838730453,42449.22900678442,68.3193805201081,0.04950267371179119,1.0011099340580107
T5_calibk_s0p75_c0p15,Run4.xlsx,1,38994.734735154365,38722.98916828896,271.74556686540745,0.006522491306027998,0.9960578842949945
T5_calibk_s0p75_c0p2,Run11.xlsx,1,23216.542148175606,23918.706127369696,702.1639791940906,0.050939511787149186,0.9995238303011608
T5_calibk_s0p75_c0p2,Run25.xlsx,1,22585.847123618118,22834.36330453385,248.51618091573255,0.051670089064699984,1.0013724068286987
T5_calibk_s0p75_c0p2,Run28.xlsx,1,42517.54838730453,42449.22900678442,68.3193805201081,0.04950267371179119,1.0011099340580107
T5_calibk_s0p75_c0p2,Run4.xlsx,1,38994.734735154365,38722.98916828896,271.74556686540745,0.006522491306027998,0.9960578842949945
T5_calibk_s1_c0p05,Run11.xlsx,1,23220.616526848826,23918.706127369696,698.0896005208706,0.05059907342351198,0.9993651574596765
T5_calibk_s1_c0p05,Run25.xlsx,1,22574.456294836567,22834.36330453385,259.9070096972828,0.052528333868319094,1.0018302941996884
T5_calibk_s1_c0p05,Run28.xlsx,1,42500.418134163076,42449.22900678442,51.18912737865321,0.04868118176444185,1.0014801857773235
