model,variant,test_case,seed,epochs,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,stage,candidate,test_files
GRU,T0_baseline_5d,Run11.xlsx,20260421,1600,0.9739812612533569,1.2850449085235596,0.010587622411549091,0.07178084386357216,22962.017218364366,23918.706127369696,956.6889090053301,0.03999751926006608,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run25.xlsx,20260421,1600,1.9044262170791626,2.3764405250549316,0.01340491697192192,0.044080984810226584,22701.781176609213,22834.36330453385,132.58212792463746,0.005806254641587172,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run28.xlsx,20260421,1600,2.1514835357666016,2.6095900535583496,0.025349747389554977,0.08575060268929557,39860.41056988209,42449.22900678442,2588.8184369023293,0.06098622984385824,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
GRU,T0_baseline_5d,Run4.xlsx,20260421,1600,4.61067533493042,5.108819484710693,0.02879750356078148,0.03875259184483345,38425.04722608391,38722.98916828896,297.9419422050487,0.007694187577054082,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run11.xlsx,20260421,1600,1.4616692066192627,1.8585436344146729,0.0148493442684412,0.06297631973030166,23147.874498229805,23918.706127369696,770.8316291398914,0.03222714577599347,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run25.xlsx,20260421,1600,1.8151500225067139,2.102353096008301,0.01303497701883316,0.04864762854608706,22573.85234809069,22834.36330453385,260.51095644315865,0.011408724340977495,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run28.xlsx,20260421,1600,2.082401752471924,2.440720319747925,0.02210632897913456,0.03199768567975943,41370.01161524314,42449.22900678442,1079.217391541286,0.025423721862387668,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
LSTM,T0_baseline_5d,Run4.xlsx,20260421,1600,4.506039142608643,4.794336795806885,0.027573226019740105,0.034332834098307105,38411.60155743362,38722.98916828896,311.3876108553377,0.008041414610376704,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run11.xlsx,20260421,1600,3.2107741832733154,3.819849967956543,0.036052849143743515,0.02537676638497962,23993.32856784784,23918.706127369696,74.62244047814238,0.003119836001193786,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run25.xlsx,20260421,1600,4.427452087402344,4.925686359405518,0.030443454161286354,0.09427393463620773,24031.90222754475,22834.36330453385,1197.5389230108995,0.052444594449153024,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
1D-CNN,T0_baseline_5d,Run28.xlsx,20260421,1600,4.759951114654541,6.4822916984558105,0.04337909817695618,0.1521624667835764,39006.38001730755,42449.22900678442,3442.848989476872,0.08110510061152396,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
