round_id,description,seq_len,d_model,nhead,num_layers,dim_ff,dropout,epochs,learning_rate,weight_decay,grad_clip_norm,use_validation,mean_pressure_mae,mean_pressure_rmse,mean_pressure_mape,mean_wear_mae_um,mean_life_abs_error,median_life_abs_error,mean_life_rel_error,max_life_abs_error,min_life_abs_error,mean_actual_epochs
seq10_d64_ff128_l2,"seq_len=10, d_model=64, ff=128, 2层",10,64,4,2,128,0.0,1200,0.001,1e-06,,False,3.6424590349197388,4.065969109535217,0.045844404492527246,0.10556192564414454,3682.682613809545,587.5545125975386,0.05644064137252327,13407.867784514798,147.75364552830433,1200.0
seq10_base,seq_len=10 基础配置,10,32,4,2,64,0.0,1200,0.001,1e-06,,False,2.15317702293396,2.5477089285850525,0.02596758771687746,0.11755549437308224,3776.6512303115605,1456.7094967113899,0.06640679869088195,11485.475800844542,707.71012697892,1200.0
seq20_d64_ff128_l2,"seq_len=20, d_model=64, ff=128, 2层",20,64,4,2,128,0.0,1200,0.001,1e-06,,False,2.1998623311519623,2.5213030874729156,0.028868845431134105,0.1172840180480545,3789.66567138777,1673.0399415912998,0.0685884051250219,11022.403990476101,790.1788118923796,1200.0
seq8_base,seq_len=8 基础配置,8,32,4,2,64,0.0,1200,0.001,1e-06,,False,3.117161989212036,3.462877035140991,0.03247707709670067,0.13060656255681544,3927.628188893882,2733.121781240132,0.07515490344786191,10204.181633563967,40.0875595312973,1200.0
seq10_mild,seq_len=10 + 温和训练策略,10,32,4,2,64,0.0,1800,0.0005,1e-05,1.0,False,2.586689829826355,3.085348129272461,0.028751324396580458,0.13297527364317135,3929.496660443766,1866.950123921406,0.0730506089511069,11359.842629526727,624.2437644055244,1800.0
baseline_seq6,基准 Transformer 配置，seq_len=6,6,32,4,2,64,0.0,1200,0.001,1e-06,,False,2.644315242767334,2.9840249121189117,0.03326459298841655,0.1285887827355745,4091.486977827426,2196.611389742473,0.0753499830301588,11430.613758797212,542.1113730275465,1200.0
seq8_mild,seq_len=8 + 温和训练策略,8,32,4,2,64,0.0,1800,0.0005,1e-05,1.0,False,2.2387779653072357,2.5360855162143707,0.030714469263330102,0.13674288937576312,4209.489533021661,2039.3076114929645,0.07745896473063871,11663.923603035051,1095.4193060656653,1800.0
seq12_d96_ff192_l2,"seq_len=12, d_model=96, ff=192, 2层",12,96,4,2,192,0.0,1200,0.001,1e-06,,False,2.1651391088962555,2.590210050344467,0.02864026906900108,0.1399818312874718,4210.160716881991,2200.53573732497,0.0788508061435148,11322.486478852494,1117.0849140255305,1200.0
seq8_d64_ff128,"seq_len=8, d_model=64, ff=128, 2层",8,64,4,2,128,0.0,1200,0.001,1e-06,,False,2.3725309669971466,2.8940239548683167,0.028652193257585168,0.14504021231359027,4294.49094357699,2341.5277149950634,0.08108736958731114,11518.082455263,976.8258890548314,1200.0
seq10_d48_ff96,"seq_len=10, d_model=48, ff=96, 2层",10,48,4,2,96,0.0,1200,0.001,1e-06,,False,1.9899181723594666,2.4132078886032104,0.026997903478331864,0.1396407063021977,4304.552431359338,2079.577886924966,0.08045268872845561,11765.58300469866,1293.4709468887595,1200.0
seq12_d64_ff128_l2,"seq_len=12, d_model=64, ff=128, 2层",12,64,4,2,128,0.0,1200,0.001,1e-06,,False,2.9303860664367676,3.313492566347122,0.0364967614877969,0.12533818059757945,4444.207611460727,1663.0091287225277,0.07614335175702389,13847.795170712903,603.0170176849497,1200.0
seq10_val_regularized,seq_len=10 + validation/early-stop 正则分支,10,32,4,2,64,0.1,3000,0.0005,0.0001,1.0,True,3.8268695771694183,4.26365053653717,0.04261205717921257,0.12575397956272644,4572.084971298672,1235.208615796435,0.07443378555931746,15693.994235138081,123.9284184637363,752.0
seq6_regularized,seq_len=6 + dropout/weight_decay/grad_clip,6,32,4,2,64,0.1,2200,0.0005,0.0001,1.0,False,4.742770314216614,5.111036032438278,0.048457355704158545,0.14269282210699724,4726.700064869135,2156.12958834221,0.08424294299000937,13673.477563353103,921.0635194390161,2200.0
seq12_val_mild,seq_len=12 + validation/early-stop 温和分支,12,32,4,2,64,0.05,2600,0.0005,1e-05,1.0,True,30.453354597091675,33.296040058135986,0.29841291904449463,0.46846528641998975,15708.197881259663,16390.194854999747,0.3178433758694181,29623.835584621796,428.5662304173602,233.0
