train/eval | 01_五模型基准对比 | FNN | seed=20260425 | epochs=1600
train/eval | 01_五模型基准对比 | LSTM | seed=20260429 | epochs=1600
    epoch    1 | loss=9.467131e-01 | data=9.467131e-01
    epoch  200 | loss=3.315895e-03 | data=3.269749e-03
    epoch  400 | loss=1.177007e-03 | data=1.125897e-03
    epoch  600 | loss=7.500277e-04 | data=7.001348e-04
    epoch  800 | loss=5.454011e-04 | data=5.004260e-04
    epoch 1000 | loss=4.503179e-04 | data=4.117178e-04
    epoch 1200 | loss=3.967190e-04 | data=3.645561e-04
    epoch 1400 | loss=3.742803e-04 | data=3.479620e-04
    epoch 1600 | loss=3.391864e-04 | data=3.177701e-04
train/eval | 01_五模型基准对比 | 1D-CNN | seed=20260425 | epochs=1600
    epoch    1 | loss=1.037981e+00 | data=1.037981e+00
    epoch  200 | loss=9.535233e-04 | data=9.239762e-04
    epoch  400 | loss=4.538889e-04 | data=4.304629e-04
    epoch  600 | loss=3.357628e-04 | data=3.166207e-04
    epoch  800 | loss=3.128801e-04 | data=2.963330e-04
    epoch 1000 | loss=2.402696e-04 | data=2.252632e-04
    epoch 1200 | loss=1.269474e-03 | data=1.256129e-03
    epoch 1400 | loss=2.041885e-04 | data=1.918753e-04
    epoch 1600 | loss=1.900865e-04 | data=1.789767e-04
train/eval | 01_五模型基准对比 | 1D-CNN | seed=20260426 | epochs=1600
    epoch    1 | loss=9.794758e-01 | data=9.794757e-01
    epoch  200 | loss=1.215719e-03 | data=1.173495e-03
    epoch  400 | loss=5.158412e-04 | data=4.845196e-04
    epoch  600 | loss=3.533591e-04 | data=3.282333e-04
    epoch  800 | loss=3.047947e-04 | data=2.831463e-04
    epoch 1000 | loss=2.368506e-04 | data=2.178440e-04
    epoch 1200 | loss=2.826415e-04 | data=2.659434e-04
    epoch 1400 | loss=2.471710e-04 | data=2.318168e-04
    epoch 1600 | loss=1.869585e-04 | data=1.730579e-04
train/eval | 01_五模型基准对比 | 1D-CNN | seed=20260427 | epochs=1600
    epoch    1 | loss=1.052159e+00 | data=1.052157e+00
    epoch  200 | loss=1.064339e-03 | data=1.008661e-03
    epoch  400 | loss=5.216476e-04 | data=4.704462e-04
    epoch  600 | loss=4.277144e-04 | data=3.848120e-04
    epoch  800 | loss=3.074876e-04 | data=2.719398e-04
    epoch 1000 | loss=2.724351e-04 | data=2.425161e-04
    epoch 1200 | loss=4.198564e-04 | data=3.956017e-04
    epoch 1400 | loss=2.250395e-04 | data=2.042995e-04
    epoch 1600 | loss=2.629241e-04 | data=2.457014e-04
train/eval | 01_五模型基准对比 | 1D-CNN | seed=20260428 | epochs=1600
    epoch    1 | loss=1.024602e+00 | data=1.024601e+00
    epoch  200 | loss=1.298645e-03 | data=1.248856e-03
    epoch  400 | loss=4.874264e-04 | data=4.477471e-04
    epoch  600 | loss=3.653572e-04 | data=3.325898e-04
    epoch  800 | loss=3.127145e-04 | data=2.859170e-04
    epoch 1000 | loss=3.143662e-04 | data=2.921953e-04
    epoch 1200 | loss=3.708710e-04 | data=3.519671e-04
    epoch 1400 | loss=2.444763e-04 | data=2.266457e-04
    epoch 1600 | loss=2.226926e-04 | data=2.077834e-04
train/eval | 01_五模型基准对比 | 1D-CNN | seed=20260429 | epochs=1600
    epoch    1 | loss=9.947929e-01 | data=9.947927e-01
    epoch  200 | loss=1.094316e-03 | data=1.059782e-03
    epoch  400 | loss=4.770179e-04 | data=4.471160e-04
    epoch  600 | loss=3.422778e-04 | data=3.174735e-04
    epoch  800 | loss=2.935419e-04 | data=2.734212e-04
    epoch 1000 | loss=3.604398e-04 | data=3.438193e-04
    epoch 1200 | loss=3.283932e-04 | data=3.141947e-04
    epoch 1400 | loss=1.456144e-03 | data=1.444059e-03
    epoch 1600 | loss=1.920655e-04 | data=1.812172e-04
train/eval | 01_五模型基准对比 | Transformer | seed=20260425 | epochs=1600
    epoch    1 | loss=1.033739e+00 | data=1.033737e+00
    epoch  200 | loss=8.438489e-04 | data=7.618361e-04
    epoch  400 | loss=4.274833e-04 | data=3.607990e-04
    epoch  600 | loss=3.338885e-04 | data=2.850749e-04
    epoch  800 | loss=2.806638e-04 | data=2.453234e-04
    epoch 1000 | loss=3.766546e-04 | data=3.504643e-04
